1`(1,0-2,no,B)++
1`(2,0-2,no,B)++
1`(3,0-2,no,B)++
1`(4,0-2,no,B)++
1`(5,0-2,no,B)++
1`(6,0-2,no,B)++
1`(7,9-11,yes,M)++
1`(8,0-2,no,B)++
1`(9,0-2,no,B)++
1`(10,0-2,yes,B)++
1`(11,0-2,no,B)++
1`(12,0-2,no,B)++
1`(13,6-8,yes,M)++
1`(14,0-2,no,B)++
1`(15,0-2,no,B)++
1`(16,0-2,no,B)++
1`(17,0-2,no,B)++
1`(18,0-2,no,B)++
1`(19,0-2,no,B)++
1`(20,3-5,yes,B)++
1`(21,0-2,no,B)++
1`(22,0-2,no,B)++
1`(23,0-2,no,B)++
1`(24,0-2,no,B)++
1`(25,0-2,no,B)++
1`(26,0-2,no,B)++
1`(27,3-5,no,M)++
1`(28,0-2,no,B)++
1`(29,0-2,no,B)++
1`(30,3-5,no,B)++
1`(31,0-2,no,B)++
1`(32,0-2,no,B)++
1`(33,0-2,no,B)++
1`(34,0-2,no,B)++
1`(35,0-2,no,B)++
1`(36,0-2,no,B)++
1`(37,0-2,no,B)++
1`(38,0-2,no,B)++
1`(39,0-2,no,B)++
1`(40,3-5,no,M)++
1`(41,0-2,no,B)++
1`(42,0-2,no,B)++
1`(43,0-2,no,B)++
1`(44,12-14,no,B)++
1`(45,3-5,yes,M)++
1`(46,0-2,no,B)++
1`(47,0-2,yes,B)++
1`(48,0-2,no,B)++
1`(49,0-2,no,B)++
1`(50,0-2,no,B)++
1`(51,3-5,no,B)++
1`(52,3-5,no,M)++
1`(53,0-2,no,B)++
1`(54,0-2,yes,B)++
1`(55,0-2,yes,B)++
1`(56,0-2,no,B)++
1`(57,3-5,yes,M)++
1`(58,15-17,no,B)++
1`(59,0-2,no,B)++
1`(60,3-5,yes,M)++
1`(61,0-2,no,B)++
1`(62,0-2,no,B)++
1`(63,0-2,no,B)++
1`(64,6-8,yes,M)++
1`(65,0-2,no,B)++
1`(66,0-2,no,B)++
1`(67,6-8,yes,M)++
1`(68,9-11,yes,M)++
1`(69,0-2,no,B)++
1`(70,0-2,no,B)++
1`(71,0-2,no,B)++
1`(72,0-2,no,B)++
1`(73,0-2,no,B)++
1`(74,6-8,yes,M)++
1`(75,15-17,yes,M)++
1`(76,0-2,no,B)++
1`(77,0-2,no,B)++
1`(78,3-5,yes,M)++
1`(79,0-2,no,B)++
1`(80,0-2,no,B)++
1`(81,0-2,no,B)++
1`(82,0-2,no,B)++
1`(83,0-2,yes,B)++
1`(84,0-2,no,B)++
1`(85,0-2,no,B)++
1`(86,0-2,no,B)++
1`(87,0-2,no,B)++
1`(88,0-2,yes,B)++
1`(89,0-2,no,B)++
1`(90,24-26,yes,M)++
1`(91,0-2,no,B)++
1`(92,3-5,yes,B)++
1`(93,0-2,no,B)++
1`(94,0-2,no,B)++
1`(95,3-5,yes,M)++
1`(96,0-2,no,B)++
1`(97,0-2,no,B)++
1`(98,0-2,no,B)++
1`(99,0-2,no,B)++
1`(100,0-2,no,B)++
1`(101,0-2,no,B)++
1`(102,3-5,no,B)++
1`(103,0-2,no,B)++
1`(104,0-2,no,B)++
1`(105,6-8,yes,M)++
1`(106,0-2,yes,B)++
1`(107,0-2,no,B)++
1`(108,6-8,no,B)++
1`(109,0-2,no,B)++
1`(110,0-2,no,B)++
1`(111,0-2,no,B)++
1`(112,0-2,no,B)++
1`(113,6-8,yes,M)++
1`(114,0-2,no,B)++
1`(115,0-2,no,B)++
1`(116,0-2,no,B)++
1`(117,12-14,yes,M)++
1`(118,3-5,yes,M)++
1`(119,6-8,yes,M)++
1`(120,0-2,no,B)++
1`(121,3-5,no,B)++
1`(122,15-17,yes,B)++
1`(123,0-2,no,B)++
1`(124,3-5,yes,M)++
1`(125,3-5,no,B)++
1`(126,0-2,no,B)++
1`(127,9-11,no,M)++
1`(128,0-2,no,B)++
1`(129,0-2,no,B)++
1`(130,3-5,yes,M)++
1`(131,3-5,yes,M)++
1`(132,0-2,no,B)++
1`(133,0-2,no,B)++
1`(134,0-2,no,B)++
1`(135,0-2,no,B)++
1`(136,0-2,no,B)++
1`(137,0-2,no,B)++
1`(138,6-8,no,M)++
1`(139,3-5,yes,M)++
1`(140,0-2,no,B)++
1`(141,0-2,no,B)++
1`(142,0-2,no,B)++
1`(143,0-2,no,B)++
1`(144,0-2,no,B)++
1`(145,0-2,no,B)++
1`(146,0-2,no,B)++
1`(147,0-2,no,B)++
1`(148,0-2,no,B)++
1`(149,0-2,no,B)++
1`(150,0-2,no,B)++
1`(151,9-11,yes,M)++
1`(152,0-2,no,B)++
1`(153,3-5,no,B)++
1`(154,0-2,yes,B)++
1`(155,0-2,no,B)++
1`(156,0-2,no,B)++
1`(157,0-2,no,B)++
1`(158,0-2,no,B)++
1`(159,0-2,no,B)++
1`(160,0-2,no,B)++
1`(161,3-5,no,B)++
1`(162,0-2,no,B)++
1`(163,0-2,no,B)++
1`(164,0-2,no,B)++
1`(165,0-2,no,B)++
1`(166,0-2,no,B)
