Application Status,Admission Test,Admission Test 2,Terminal Degree,Document Verified,Offered
Application Received,0,0,702,0,No
Application Fee Received,65,65,867,0,No
Admission Fee Challan Received,50,0,784,1,No
Admission Fee Challan Received,0,0,780,1,No
Application Fee Received,60,0,921,1,No
Challan Printed,49,0,906,0,No
Application Fee Received,51,0,821,0,No
Application Fee Received,64,0,838,0,No
Application Fee Received,47,0,755,0,No
Application Fee Received,57,0,886,0,No
Application Fee Received,84,84,964,0,No
Challan Printed,57,0,931,0,No
Application Fee Received,86,86,957,0,No
Application Fee Received,65,65,967,1,No
Application Fee Received,68,68,906,0,No
Admission Fee Challan Received,87,87,962,1,Yes
Application Fee Received,68,0,942,0,No
Application Fee Received,50,0,735,0,No
Application Fee Received,54,0,942,0,No
Application Fee Received,48,0,825,0,No
Application Fee Received,51,0,731,0,No
Challan Printed,57,0,878,0,No
Admission Fee Challan Received,80,80,992,1,Yes
Application Fee Received,60,0,914,0,No
Application Fee Received,46,0,730,0,No
Application Fee Received,59,0,911,0,No
Admission Fee Challan Received,83,83,983,1,Yes
Application Fee Received,56,0,961,1,No
Application Fee Received,55,0,928,0,No
Application Fee Received,56,0,903,0,No
Application Fee Received,52,0,957,0,No
Application Fee Received,59,0,828,0,No
Application Fee Received,60,0,976,0,No
Application Fee Received,66,0,896,0,No
Application Fee Received,56,0,928,0,No
Application Fee Received,52,0,968,1,No
Application Fee Received,50,42,899,0,No
Challan Printed,50,0,588,0,No
Application Fee Received,68,63,946,0,No
Application Fee Received,44,0,840,0,No
Application Fee Received,59,0,897,0,No
Application Fee Received,55,0,798,0,No
Application Fee Received,81,0,892,0,No
Application Fee Received,50,0,720,0,No
Application Fee Received,67,0,903,0,No
Application Fee Received,51,0,662,0,No
Application Fee Received,53,0,751,0,No
Application Fee Received,38,0,757,0,No
Application Fee Received,86,86,967,1,Yes
Application Fee Received,73,73,945,1,No
Application Fee Received,75,0,996,0,No
Admission Fee Challan Received,61,0,982,1,Yes
Application Fee Received,75,69,968,1,Yes
Application Fee Received,78,78,948,1,No
Application Fee Received,60,0,978,1,Yes
Application Fee Received,58,0,909,0,No
Application Fee Received,58,0,803,0,No
Application Fee Received,44,0,713,0,No
Application Fee Received,51,32,910,0,No
Challan Printed,43,0,805,0,No
Application Fee Received,51,0,800,0,No
Application Received,58,0,766,0,No
Application Fee Received,48,0,819,0,No
Application Fee Received,66,0,922,0,No
Application Fee Received,70,0,811,0,No
Application Fee Received,63,0,812,0,No
Application Fee Received,80,0,907,0,No
Application Fee Received,52,0,696,0,No
Application Fee Received,62,0,896,0,No
Application Fee Received,55,0,929,0,No
