column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h
false,1,1,1,1,2,2,data_4
false,1,1,1,1,4,1,data_7
false,1,1,1,2,1,1,data_9
false,1,1,1,2,1,2,data_10
false,1,1,1,2,2,1,data_11
false,1,1,1,2,3,1,data_13
false,1,1,1,2,4,1,data_15
false,1,1,1,3,2,1,data_19
false,1,1,1,3,4,1,data_23
false,1,1,2,1,1,1,data_25
false,1,1,2,1,1,2,data_26
false,1,1,2,2,3,1,data_37
false,1,1,2,2,4,1,data_39
true,1,1,2,2,4,2,data_40
false,1,1,2,3,1,2,data_42
true,1,1,2,3,2,2,data_44
false,1,2,1,1,1,2,data_50
false,1,2,1,2,1,2,data_58
true,1,2,1,2,2,2,data_60
false,1,2,1,2,3,1,data_61
true,1,2,1,2,3,2,data_62
false,1,2,1,2,4,1,data_63
false,1,2,1,3,1,1,data_65
false,1,2,1,3,1,2,data_66
true,1,2,1,3,2,2,data_68
false,1,2,1,3,3,1,data_69
true,1,2,1,3,3,2,data_70
false,1,2,1,3,4,1,data_71
true,1,2,1,3,4,2,data_72
false,1,2,2,1,2,1,data_75
false,1,2,2,1,4,1,data_79
true,1,2,2,2,3,1,data_85
true,1,2,2,2,4,1,data_87
false,1,2,2,3,1,1,data_89
true,1,2,2,3,1,2,data_90
true,1,2,2,3,3,1,data_93
false,1,2,2,3,3,2,data_94
true,1,2,2,3,4,1,data_95
false,1,2,2,3,4,2,data_96
false,1,3,1,1,1,2,data_98
false,1,3,1,1,2,2,data_100
false,1,3,1,1,3,1,data_101
false,1,3,1,1,3,2,data_102
false,1,3,1,2,2,1,data_107
true,1,3,1,2,2,2,data_108
true,1,3,1,2,3,2,data_110
false,1,3,1,2,4,1,data_111
true,1,3,1,3,2,2,data_116
false,1,3,1,3,3,1,data_117
true,1,3,1,3,4,2,data_120
false,1,3,2,1,3,1,data_125
true,1,3,2,1,3,2,data_126
false,1,3,2,1,4,1,data_127
true,1,3,2,2,1,2,data_130
false,1,3,2,2,3,2,data_134
false,1,3,2,2,4,2,data_136
true,1,3,2,3,2,1,data_139
false,2,1,1,1,1,1,data_145
false,2,1,1,1,2,2,data_148
false,2,1,1,1,3,1,data_149
true,2,1,1,2,2,2,data_156
false,2,1,1,3,1,2,data_162
true,2,1,1,3,2,2,data_164
true,2,1,1,3,3,2,data_166
false,2,1,1,3,4,1,data_167
false,2,1,2,1,1,1,data_169
true,2,1,2,1,2,2,data_172
false,2,1,2,1,4,1,data_175
true,2,1,2,2,2,1,data_179
false,2,1,2,2,4,2,data_184
false,2,1,2,3,1,1,data_185
true,2,1,2,3,1,2,data_186
false,2,1,2,3,2,2,data_188
false,2,1,2,3,3,2,data_190
false,2,1,2,3,4,2,data_192
false,2,2,1,1,3,1,data_197
true,2,2,1,1,4,2,data_200
false,2,2,1,2,1,1,data_201
true,2,2,1,2,3,1,data_205
true,2,2,1,3,3,1,data_213
false,2,2,1,3,3,2,data_214
true,2,2,1,3,4,1,data_215
false,2,2,2,1,1,1,data_217
false,2,2,2,1,2,2,data_220
false,2,2,2,1,3,2,data_222
true,2,2,2,1,4,1,data_223
false,2,2,2,1,4,2,data_224
true,2,2,2,2,1,1,data_225
false,2,2,2,2,2,2,data_228
false,2,2,2,2,3,1,data_229
true,2,2,2,3,1,1,data_233
false,2,2,2,3,2,1,data_235
false,2,2,2,3,2,2,data_236
false,2,2,2,3,4,2,data_240
false,2,3,1,1,1,1,data_241
false,2,3,1,1,1,2,data_242
true,2,3,1,1,3,2,data_246
false,2,3,1,2,1,1,data_249
true,2,3,1,2,3,1,data_253
false,2,3,1,2,3,2,data_254
false,2,3,1,2,4,2,data_256
true,2,3,1,3,1,2,data_258
true,2,3,1,3,2,1,data_259
true,2,3,1,3,4,1,data_263
true,2,3,2,1,1,2,data_266
true,2,3,2,1,2,1,data_267
true,2,3,2,1,3,1,data_269
false,2,3,2,1,4,2,data_272
true,2,3,2,2,1,1,data_273
false,2,3,2,2,2,1,data_275
false,2,3,2,2,3,2,data_278
false,2,3,2,3,3,1,data_285
false,2,3,2,3,3,2,data_286
false,2,3,2,3,4,2,data_288
false,3,1,1,1,4,1,data_295
false,3,1,1,2,1,2,data_298
true,3,1,1,2,2,2,data_300
true,3,1,1,2,3,2,data_302
false,3,1,1,2,4,1,data_303
true,3,1,1,2,4,2,data_304
false,3,1,1,3,1,1,data_305
false,3,1,1,3,1,2,data_306
true,3,1,1,3,2,2,data_308
true,3,1,1,3,3,2,data_310
false,3,1,2,1,1,1,data_313
true,3,1,2,1,2,2,data_316
false,3,1,2,1,3,1,data_317
true,3,1,2,1,3,2,data_318
false,3,1,2,1,4,1,data_319
true,3,1,2,1,4,2,data_320
true,3,1,2,2,2,1,data_323
true,3,1,2,3,1,2,data_330
true,3,1,2,3,2,1,data_331
false,3,1,2,3,2,2,data_332
false,3,1,2,3,4,2,data_336
false,3,2,1,1,1,2,data_338
true,3,2,1,1,2,2,data_340
false,3,2,1,1,3,1,data_341
true,3,2,1,1,3,2,data_342
true,3,2,1,2,1,2,data_346
true,3,2,1,2,2,1,data_347
false,3,2,1,3,1,1,data_353
true,3,2,1,3,2,1,data_355
true,3,2,1,3,3,1,data_357
false,3,2,1,3,3,2,data_358
false,3,2,2,1,1,1,data_361
false,3,2,2,1,2,2,data_364
true,3,2,2,1,3,1,data_365
false,3,2,2,1,3,2,data_366
true,3,2,2,2,1,1,data_369
false,3,2,2,2,2,1,data_371
false,3,2,2,2,2,2,data_372
false,3,2,2,2,3,2,data_374
true,3,2,2,3,1,1,data_377
false,3,2,2,3,3,2,data_382
false,3,2,2,3,4,2,data_384
false,3,3,1,1,1,1,data_385
false,3,3,1,1,2,1,data_387
false,3,3,1,1,3,1,data_389
true,3,3,1,1,3,2,data_390
false,3,3,1,2,3,2,data_398
false,3,3,2,1,1,1,data_409
true,3,3,2,2,1,1,data_417
false,3,3,2,2,2,1,data_419
