1`(1,"No")++
1`(2,"Yes")++
1`(3,"No")++
1`(4,"No")++
1`(5,"No")++
1`(6,"No")++
1`(7,"No")++
1`(8,"No")++
1`(9,"No")++
1`(10,"No")++
1`(11,"No")++
1`(12,"No")++
1`(13,"No")++
1`(14,"No")++
1`(15,"No")++
1`(16,"No")++
1`(17,"No")++
1`(18,"No")++
1`(19,"No")++
1`(20,"Yes")++
1`(21,"No")++
1`(22,"No")++
1`(23,"No")++
1`(24,"Yes")++
1`(25,"No")++
1`(26,"No")++
1`(27,"No")++
1`(28,"No")++
1`(29,"No")++
1`(30,"No")++
1`(31,"No")++
1`(32,"No")++
1`(33,"No")++
1`(34,"No")++
1`(35,"No")++
1`(36,"No")++
1`(37,"No")++
1`(38,"No")++
1`(39,"No")++
1`(40,"No")++
1`(41,"No")++
1`(42,"No")++
1`(43,"No")++
1`(44,"No")++
1`(45,"No")++
1`(46,"No")++
1`(47,"No")++
1`(48,"No")++
1`(49,"No")++
1`(50,"No")++
1`(51,"No")++
1`(52,"No")++
1`(53,"No")++
1`(54,"No")++
1`(55,"No")++
1`(56,"No")++
1`(57,"No")++
1`(58,"No")++
1`(59,"No")++
1`(60,"No")++
1`(61,"No")++
1`(62,"No")++
1`(63,"No")++
1`(64,"No")++
1`(65,"Yes")++
1`(66,"No")++
1`(67,"No")++
1`(68,"No")++
1`(69,"No")++
1`(70,"No")++
1`(71,"No")++
1`(72,"No")++
1`(73,"No")++
1`(74,"No")++
1`(75,"No")++
1`(76,"No")++
1`(77,"No")++
1`(78,"Yes")++
1`(79,"No")++
1`(80,"No")++
1`(81,"No")++
1`(82,"No")++
1`(83,"No")++
1`(84,"No")++
1`(85,"No")++
1`(86,"No")++
1`(87,"No")++
1`(88,"No")++
1`(89,"No")++
1`(90,"No")++
1`(91,"No")++
1`(92,"No")++
1`(93,"No")++
1`(94,"No")++
1`(95,"No")++
1`(96,"No")++
1`(97,"No")++
1`(98,"No")++
1`(99,"No")++
1`(100,"No")++
1`(101,"No")++
1`(102,"No")++
1`(103,"No")++
1`(104,"No")++
1`(105,"No")++
1`(106,"No")++
1`(107,"No")++
1`(108,"No")++
1`(109,"No")++
1`(110,"No")++
1`(111,"No")++
1`(112,"No")++
1`(113,"No")++
1`(114,"No")++
1`(115,"No")++
1`(116,"No")++
1`(117,"No")++
1`(118,"No")++
1`(119,"No")++
1`(120,"Yes")++
1`(121,"No")++
1`(122,"No")++
1`(123,"No")++
1`(124,"No")++
1`(125,"Yes")++
1`(126,"No")++
1`(127,"No")++
1`(128,"No")++
1`(129,"No")++
1`(130,"Yes")++
1`(131,"No")++
1`(132,"No")++
1`(133,"No")++
1`(134,"No")++
1`(135,"Yes")++
1`(136,"No")++
1`(137,"No")++
